,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. ],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. ],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. ],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. ],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. ],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. ],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. ],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. ],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. ],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 0. 0. 0. 0. 0. 0. 0. 0. 0. ]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],-0,0,0,0,0,0,0.722222222222222,0.677777777777778,0.655555555555556,0.655555555555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. ],-0,-0,0,0,0,0,0.483333333333333,0.449206349206349,0.44047619047619,0.452380952380952,0.773015873015873,0.784920634920635,0.821428571428571,1,0.883333333333333,0.861904761904762,0.861111111111111,0.880952380952381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. ],-0,-0,-0,0,0,0,0.283333333333333,0.273809523809524,0.277380952380952,0.297619047619048,0.495238095238095,0.526190476190476,0.595238095238095,0.779761904761905,0.701190476190476,0.688095238095238,0.704761904761905,0.754761904761905,0.839285714285714,0.880952380952381,1,1,1,0.930952380952381,0.928571428571429,0.945238095238095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. ],-0,-0,-0,-0,0,0,0.122222222222222,0.126984126984127,0.134920634920635,0.155555555555556,0.234920634920635,0.26031746031746,0.333333333333333,0.404761904761905,0.495238095238095,0.504761904761905,0.541269841269841,0.633333333333333,0.585714285714286,0.661904761904762,0.833333333333333,0.86031746031746,0.944444444444444,0.780952380952381,0.8,0.857142857142857,0.86031746031746,0.944444444444444,1,1,0.944444444444444,0.963492063492064,0.988888888888889,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. ],-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0.297619047619048,0.317460317460317,0.361111111111111,0.5,0.301587301587302,0.361111111111111,0.416666666666667,0.603174603174603,0.777777777777778,0.575396825396825,0.619047619047619,0.722222222222222,0.603174603174603,0.777777777777778,0.861111111111111,1,0.797619047619048,0.861111111111111,1,0.861111111111111,1,0.94047619047619,1,1,1,1,1,1
[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],-1,-0.722222222222222,-0.483333333333333,-0.283333333333333,-0.122222222222222,-0,0,0.163888888888889,0.283333333333333,0.375,0.766666666666667,0.791666666666667,0.833333333333333,1,0.666666666666667,0.688888888888889,0.733333333333333,0.791666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. ],-1,-0.677777777777778,-0.449206349206349,-0.273809523809524,-0.126984126984127,-0,-0.163888888888889,0,0.136111111111111,0.254960317460317,0.428571428571429,0.533730158730159,0.634920634920635,0.869047619047619,0.375,0.467460317460317,0.553571428571429,0.642857142857143,0.805357142857143,0.862103174603175,1,1,1,0.827777777777778,0.851190476190476,0.892857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. ],-1,-0.655555555555556,-0.44047619047619,-0.277380952380952,-0.134920634920635,-0,-0.283333333333333,-0.136111111111111,0,0.13531746031746,0.13015873015873,0.268253968253968,0.421428571428571,0.557142857142857,0.133333333333333,0.26031746031746,0.383333333333333,0.511904761904762,0.507142857142857,0.640079365079365,0.888888888888889,0.819047619047619,0.916666666666667,0.578571428571429,0.668650793650794,0.763095238095238,0.853571428571429,0.933333333333333,1,1,0.880952380952381,0.922619047619048,0.966666666666667,1,1,1,1,1,1,1,1,1
[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. ],-1,-0.655555555555556,-0.452380952380952,-0.297619047619048,-0.155555555555556,-0,-0.375,-0.254960317460317,-0.13531746031746,0,-0.120634920634921,0,0.166666666666667,0.141666666666667,-0.0595238095238095,0.0634920634920635,0.200396825396825,0.375,0.190674603174603,0.350198412698413,0.561111111111111,0.506349206349206,0.722222222222222,0.317460317460317,0.448412698412698,0.607539682539682,0.568253968253968,0.773611111111111,0.844444444444444,1,0.654761904761905,0.775793650793651,0.919444444444444,0.876388888888889,1,0.892857142857143,0.972222222222222,1,1,1,1,1
[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. ],-1,-1,-0.773015873015873,-0.495238095238095,-0.234920634920635,-0,-0.766666666666667,-0.428571428571429,-0.13015873015873,0.120634920634921,0,0.277777777777778,0.49047619047619,0.714285714285714,-0.3,0,0.241269841269841,0.433333333333333,0.428571428571429,0.622222222222222,0.933333333333333,0.773015873015873,0.888888888888889,0.288888888888889,0.506349206349206,0.661904761904762,0.861904761904762,0.933333333333333,1,1,0.777777777777778,0.861904761904762,0.933333333333333,1,1,1,1,1,1,1,1,1
[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. ],-1,-1,-0.784920634920635,-0.526190476190476,-0.26031746031746,-0,-0.791666666666667,-0.533730158730159,-0.268253968253968,-0,-0.277777777777778,0,0.282539682539683,0.316666666666667,-0.446428571428571,-0.192857142857143,0.0633597883597884,0.30952380952381,0.0662698412698413,0.341269841269841,0.691666666666667,0.397619047619048,0.666666666666667,0,0.262301587301587,0.499603174603175,0.544444444444444,0.775,0.827777777777778,1,0.464285714285714,0.675,0.841666666666667,0.9,1,0.827380952380952,0.936111111111111,1,1,1,1,1
[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. ],-1,-1,-0.821428571428571,-0.595238095238095,-0.333333333333333,-0,-0.833333333333333,-0.634920634920635,-0.421428571428571,-0.166666666666667,-0.49047619047619,-0.282539682539683,0,-0.15,-0.571428571428571,-0.366666666666667,-0.137301587301587,0.15,-0.247619047619048,0,0.205555555555556,0,0.316666666666667,-0.238095238095238,0.00476190476190476,0.287301587301587,0.15,0.5,0.433333333333333,0.866666666666667,0.142857142857143,0.411904761904762,0.727777777777778,0.583333333333333,0.866666666666667,0.523809523809524,0.783333333333333,0.933333333333333,0.833333333333333,1,1,1
[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-0.779761904761905,-0.404761904761905,-0,-1,-0.869047619047619,-0.557142857142857,-0.141666666666667,-0.714285714285714,-0.316666666666667,0.15,0,-0.857142857142857,-0.592857142857143,-0.247619047619048,0.130952380952381,-0.41547619047619,0,0.4,-0.15,0.283333333333333,-0.55952380952381,-0.19047619047619,0.205952380952381,0.075,0.525,0.375,0.866666666666667,-0.133333333333333,0.280952380952381,0.633333333333333,0.625,0.866666666666667,0.355952380952381,0.708333333333333,0.966666666666667,0.783333333333333,0.966666666666667,1,1
[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],-1,-1,-0.883333333333333,-0.701190476190476,-0.495238095238095,-0.297619047619048,-0.666666666666667,-0.375,-0.133333333333333,0.0595238095238095,0.3,0.446428571428571,0.571428571428571,0.857142857142857,0,0.233333333333333,0.404761904761905,0.547619047619048,0.791666666666667,0.857142857142857,1,1,1,0.633333333333333,0.725,0.81547619047619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],-1,-1,-0.861904761904762,-0.688095238095238,-0.504761904761905,-0.317460317460317,-0.688888888888889,-0.467460317460317,-0.26031746031746,-0.0634920634920635,-0,0.192857142857143,0.366666666666667,0.592857142857143,-0.233333333333333,0,0.205555555555556,0.39047619047619,0.467460317460317,0.627777777777778,0.916666666666667,0.861904761904762,0.933333333333333,0.288888888888889,0.467460317460317,0.622222222222222,0.817460317460317,0.911111111111111,1,1,0.777777777777778,0.861904761904762,0.933333333333333,1,1,1,1,1,1,1,1,1
[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. ],-1,-1,-0.861111111111111,-0.704761904761905,-0.541269841269841,-0.361111111111111,-0.733333333333333,-0.553571428571429,-0.383333333333333,-0.200396825396825,-0.241269841269841,-0.0633597883597884,0.137301587301587,0.247619047619048,-0.404761904761905,-0.205555555555556,0,0.225,0.128174603174603,0.341269841269841,0.666666666666667,0.544444444444444,0.766666666666667,0,0.200396825396825,0.411904761904762,0.499603174603175,0.716666666666667,0.863888888888889,1,0.464285714285714,0.646428571428571,0.825,0.863888888888889,1,0.827380952380952,0.936111111111111,1,1,1,1,1
[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. ],-1,-1,-0.880952380952381,-0.754761904761905,-0.633333333333333,-0.5,-0.791666666666667,-0.642857142857143,-0.511904761904762,-0.375,-0.433333333333333,-0.30952380952381,-0.15,-0.130952380952381,-0.547619047619048,-0.39047619047619,-0.225,0,-0.178571428571429,0,0.225,0.15,0.458333333333333,-0.238095238095238,-0.0642857142857143,0.15,0.130952380952381,0.391666666666667,0.508333333333333,0.866666666666667,0.142857142857143,0.355952380952381,0.666666666666667,0.533333333333333,0.9,0.523809523809524,0.758333333333333,0.9,0.833333333333333,1,1,1
[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. ],-1,-1,-1,-0.839285714285714,-0.585714285714286,-0.301587301587302,-1,-0.805357142857143,-0.507142857142857,-0.190674603174603,-0.428571428571429,-0.0662698412698413,0.247619047619048,0.41547619047619,-0.791666666666667,-0.467460317460317,-0.128174603174603,0.178571428571429,0,0.336309523809524,0.775,0.449206349206349,0.716666666666667,-0.361111111111111,0,0.30952380952381,0.48531746031746,0.729166666666667,0.851388888888889,1,0.216666666666667,0.521428571428571,0.741666666666667,0.891666666666667,1,0.741666666666667,0.891666666666667,1,1,1,1,1
[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-0.880952380952381,-0.661904761904762,-0.361111111111111,-1,-0.862103174603175,-0.640079365079365,-0.350198412698413,-0.622222222222222,-0.341269841269841,-0,-0,-0.857142857142857,-0.627777777777778,-0.341269841269841,-0,-0.336309523809524,0,0.402777777777778,0,0.402777777777778,-0.55952380952381,-0.26547619047619,0.0686507936507937,0.0686507936507937,0.441666666666667,0.458333333333333,0.866666666666667,-0.133333333333333,0.212301587301587,0.561111111111111,0.569444444444444,0.9,0.355952380952381,0.680555555555556,0.933333333333333,0.783333333333333,0.966666666666667,1,1
[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-0.833333333333333,-0.416666666666667,-1,-1,-0.888888888888889,-0.561111111111111,-0.933333333333333,-0.691666666666667,-0.205555555555556,-0.4,-1,-0.916666666666667,-0.666666666666667,-0.225,-0.775,-0.402777777777778,0,-0.561111111111111,-0.0805555555555556,-0.916666666666667,-0.683333333333333,-0.283333333333333,-0.444444444444444,0.0805555555555556,-0.161111111111111,0.4,-0.683333333333333,-0.283333333333333,0.241666666666667,0.0805555555555556,0.5,-0.283333333333333,0.241666666666667,0.722222222222222,0.241666666666667,0.766666666666667,0.766666666666667,1
[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-0.86031746031746,-0.603174603174603,-1,-1,-0.819047619047619,-0.506349206349206,-0.773015873015873,-0.397619047619048,-0,0.15,-1,-0.861904761904762,-0.544444444444444,-0.15,-0.449206349206349,-0,0.561111111111111,0,0.483333333333333,-0.833333333333333,-0.521428571428571,-0.137301587301587,0,0.4,0.5,0.866666666666667,-0.433333333333333,0,0.4,0.561111111111111,0.933333333333333,0.15,0.561111111111111,0.933333333333333,0.727777777777778,0.933333333333333,1,1
[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. ],-1,-1,-1,-1,-0.944444444444444,-0.777777777777778,-1,-1,-0.916666666666667,-0.722222222222222,-0.888888888888889,-0.666666666666667,-0.316666666666667,-0.283333333333333,-1,-0.933333333333333,-0.766666666666667,-0.458333333333333,-0.716666666666667,-0.402777777777778,0.0805555555555556,-0.483333333333333,0,-0.916666666666667,-0.733333333333333,-0.444444444444444,-0.4,0,-0.0805555555555556,0.4,-0.683333333333333,-0.363888888888889,0.0805555555555556,0.0805555555555556,0.6,-0.283333333333333,0.161111111111111,0.644444444444444,0.241666666666667,0.744444444444444,0.766666666666667,1
