,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. ],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],[3. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[4. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[4. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[5. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[5. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[6. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[7. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[7. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[11. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[12. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],-0,0,0,0,0,0,0,0.765151515151515,0.71969696969697,0.689393939393939,0.674242424242424,0.674242424242424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],-0,-0,0,0,0,0,0,0.557575757575758,0.511111111111111,0.487542087542088,0.480808080808081,0.488888888888889,0.831313131313131,0.822895622895623,0.82996632996633,0.851515151515152,1,1,1,0.918181818181818,0.894949494949495,0.882154882154882,0.881818181818182,0.893939393939394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],-0,-0,-0,0,0,0,0,0.377272727272727,0.349242424242424,0.338203463203463,0.339664502164502,0.354437229437229,0.607575757575758,0.60995670995671,0.630735930735931,0.674242424242424,0.834036796536797,0.870075757575758,1,0.783333333333333,0.753030303030303,0.744047619047619,0.754058441558442,0.784090909090909,0.897727272727273,0.903354978354978,0.922348484848485,1,1,1,1,1,1,1,0.960606060606061,0.950757575757576,0.949945887445887,0.958333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],-0,-0,-0,-0,0,0,0,0.224242424242424,0.216161616161616,0.214574314574315,0.221356421356421,0.24040404040404,0.385714285714286,0.397113997113997,0.425396825396825,0.484848484848485,0.573160173160173,0.636363636363636,0.858585858585859,0.62020202020202,0.601875901875902,0.604617604617605,0.628860028860029,0.682828282828283,0.715728715728716,0.739538239538239,0.787878787878788,0.871717171717172,0.929292929292929,0.922799422799423,0.943434343434343,0.96969696969697,1,1,0.867676767676768,0.857142857142857,0.866522366522366,0.894949494949495,0.922799422799423,0.943434343434343,0.96969696969697,1,1,1,1,1,1,0.974747474747475,0.973304473304473,0.97979797979798,0.98989898989899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. ],-0,-0,-0,-0,-0,0,0,0.0984848484848485,0.101010101010101,0.103715728715729,0.111111111111111,0.128787878787879,0.183982683982684,0.193362193362193,0.215488215488215,0.272727272727273,0.283549783549784,0.333333333333333,0.505050505050505,0.44949494949495,0.449134199134199,0.463924963924964,0.502525252525252,0.590909090909091,0.49963924963925,0.533189033189033,0.603535353535353,0.621212121212121,0.744949494949495,0.759379509379509,0.811447811447811,0.900673400673401,0.891414141414141,1,0.726010101010101,0.729617604617605,0.758116883116883,0.820707070707071,0.759379509379509,0.811447811447811,0.900673400673401,0.891414141414141,0.929292929292929,0.971380471380471,1,1,1,0.899170274170274,0.908189033189033,0.937289562289562,0.977272727272727,0.929292929292929,0.971380471380471,1,1,1,1,1,0.978896103896104,0.986111111111111,0.995791245791246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. ],-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287878787878788,0.297619047619048,0.318181818181818,0.363636363636364,0.5,0.275974025974026,0.303030303030303,0.363636363636364,0.303030303030303,0.409090909090909,0.54004329004329,0.606060606060606,0.772727272727273,0.621212121212121,0.909090909090909,0.553030303030303,0.573593073593074,0.621212121212121,0.727272727272727,0.54004329004329,0.606060606060606,0.772727272727273,0.621212121212121,0.765151515151515,0.863636363636364,0.909090909090909,0.924242424242424,1,0.764069264069264,0.795454545454545,0.863636363636364,1,0.765151515151515,0.863636363636364,0.909090909090909,0.924242424242424,1,1,1,0.904761904761905,0.939393939393939,1,0.924242424242424,1,1,1,0.977272727272727,1,1,1,1,1,1,1,1,1,1,1
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],-1,-0.765151515151515,-0.557575757575758,-0.377272727272727,-0.224242424242424,-0.0984848484848485,-0,0,0.140909090909091,0.248484848484848,0.331818181818182,0.4,0.781818181818182,0.787878787878788,0.809090909090909,0.840909090909091,1,1,1,0.712121212121212,0.713636363636364,0.733333333333333,0.766666666666667,0.809090909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],-1,-0.71969696969697,-0.511111111111111,-0.349242424242424,-0.216161616161616,-0.101010101010101,-0,-0.140909090909091,0,0.114141414141414,0.213068181818182,0.300757575757576,0.478787878787879,0.545707070707071,0.610606060606061,0.67739898989899,0.870075757575758,0.900568181818182,1,0.456060606060606,0.507575757575758,0.563383838383838,0.620328282828283,0.681818181818182,0.842171717171717,0.864772727272727,0.897032828282828,1,1,1,1,1,1,1,0.875757575757576,0.876262626262626,0.891287878787879,0.916035353535353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],-1,-0.689393939393939,-0.487542087542088,-0.338203463203463,-0.214574314574315,-0.103715728715729,-0,-0.248484848484848,-0.114141414141414,0,0.10515873015873,0.206349206349206,0.218181818181818,0.315873015873016,0.413949013949014,0.515151515151515,0.60995670995671,0.704545454545455,0.929292929292929,0.236363636363636,0.324747474747475,0.407455507455507,0.489718614718615,0.575757575757576,0.601851851851852,0.672582972582973,0.747474747474748,0.888215488215488,0.936868686868687,0.871717171717172,0.910353535353535,0.94949494949495,1,1,0.683838383838384,0.720538720538721,0.766774891774892,0.820707070707071,0.893434343434343,0.925084175084175,0.957912457912458,1,1,1,1,1,1,0.929292929292929,0.936868686868687,0.954545454545455,0.974747474747475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
