,[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. ],[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. ],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. ],[3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. ],[3. 3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[3. 3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[4. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[4. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[4. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[4. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 4. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[5. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[5. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[5. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[5. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[6. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[6. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[6. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 6. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[7. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[7. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[7. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[8. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[9. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[11. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[11. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[12. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[13. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ]
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],0,-0.0833333333333333,-0.166666666666667,-0.25,-0.333333333333333,-0.416666666666667,0.833333333333333,0.75,0.666666666666667,0.583333333333333,0.5,0.416666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],0.0833333333333333,0,-0.0727272727272727,-0.139393939393939,-0.204545454545455,-0.272727272727273,0.681818181818182,0.56969696969697,0.477272727272727,0.4,0.333333333333333,0.272727272727273,0.866666666666667,0.825757575757576,0.790909090909091,0.766666666666667,1,1,1,1,0.956060606060606,0.922727272727273,0.887878787878788,0.856060606060606,0.831818181818182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],0.166666666666667,0.0727272727272727,0,-0.0631313131313131,-0.124242424242424,-0.189393939393939,0.545454545454545,0.438383838383838,0.359090909090909,0.295454545454545,0.24040404040404,0.189393939393939,0.681186868686869,0.629292929292929,0.59229797979798,0.569949494949495,0.843939393939394,0.838257575757576,0.851515151515152,1,0.877272727272727,0.814520202020202,0.763383838383838,0.726010101010101,0.703282828282828,0.928787878787879,0.910353535353535,0.902020202020202,0.90719696969697,1,1,1,1,1,1,1,1,1,0.982828282828283,0.968181818181818,0.954545454545455,0.946338383838384,0.946969696969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. ],0.25,0.139393939393939,0.0631313131313131,0,-0.0604256854256854,-0.126262626262626,0.424242424242424,0.339393939393939,0.27507215007215,0.221356421356421,0.173160173160173,0.126262626262626,0.492424242424242,0.448593073593074,0.416450216450216,0.397186147186147,0.611688311688312,0.60995670995671,0.637626262626263,0.816161616161616,0.772727272727273,0.7,0.649891774891775,0.617424242424242,0.602813852813853,0.79025974025974,0.767676767676768,0.763708513708514,0.784090909090909,0.882359307359307,0.902777777777778,1,0.950937950937951,0.946789321789322,0.954545454545455,1,1,1,0.937373737373737,0.904401154401154,0.882756132756133,0.875901875901876,0.887626262626263,0.950937950937951,0.946789321789322,0.954545454545455,1,1,1,1,1,1,1,1,1,1,0.990656565656566,0.983766233766234,0.98015873015873,0.982323232323232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. ],0.333333333333333,0.204545454545455,0.124242424242424,0.0604256854256854,0,-0.0681818181818182,0.318181818181818,0.26010101010101,0.207792207792208,0.160930735930736,0.116161616161616,0.0681818181818182,0.323232323232323,0.285714285714286,0.254834054834055,0.232323232323232,0.367099567099567,0.357287157287157,0.378787878787879,0.485606060606061,0.651515151515151,0.588383838383838,0.546897546897547,0.522871572871573,0.52020202020202,0.616883116883117,0.6001443001443,0.603318903318903,0.643939393939394,0.672294372294372,0.710353535353535,0.858585858585859,0.833874458874459,0.837518037518038,0.866919191919192,0.896969696969697,0.946969696969697,1,0.858585858585859,0.817821067821068,0.798556998556999,0.802092352092352,0.838383838383838,0.833874458874459,0.837518037518038,0.866919191919192,0.896969696969697,0.946969696969697,0.957431457431457,0.967676767676768,0.984848484848485,1,1,1,1,1,0.958333333333333,0.943001443001443,0.941233766233766,0.95530303030303,0.957431457431457,0.967676767676768,0.984848484848485,1,1,1,1,1,1,1,0.993145743145743,0.990800865800866,0.992929292929293,0.997474747474748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. ],0.416666666666667,0.272727272727273,0.189393939393939,0.126262626262626,0.0681818181818182,0,0.227272727272727,0.191919191919192,0.148809523809524,0.106060606060606,0.0606060606060606,0,0.176767676767677,0.137987012987013,0.101010101010101,0.0606060606060606,0.132034632034632,0.101010101010101,0.0681818181818182,0.106060606060606,0.522727272727273,0.47979797979798,0.449134199134199,0.434343434343434,0.446969696969697,0.438311688311688,0.422077922077922,0.424242424242424,0.477272727272727,0.415584415584416,0.439393939393939,0.505050505050505,0.667388167388167,0.67965367965368,0.732323232323232,0.685606060606061,0.792929292929293,0.901515151515151,0.747474747474748,0.714285714285714,0.70508658008658,0.727272727272727,0.818181818181818,0.667388167388167,0.67965367965368,0.732323232323232,0.685606060606061,0.792929292929293,0.843795093795094,0.877525252525252,0.954545454545455,0.901515151515151,1,0.954545454545455,0.987373737373737,1,0.890151515151515,0.875721500721501,0.886363636363636,0.931818181818182,0.843795093795094,0.877525252525252,0.954545454545455,0.901515151515151,0.954545454545455,0.987373737373737,1,1,1,1,0.964285714285714,0.963924963924964,0.97979797979798,1,0.954545454545455,0.987373737373737,1,1,1,1,1,0.993326118326118,0.996212121212121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],-0.833333333333333,-0.681818181818182,-0.545454545454545,-0.424242424242424,-0.318181818181818,-0.227272727272727,0,0.0757575757575758,0.136363636363636,0.181818181818182,0.212121212121212,0.227272727272727,0.795454545454545,0.757575757575758,0.734848484848485,0.727272727272727,1,1,1,1,0.765151515151515,0.71969696969697,0.689393939393939,0.674242424242424,0.674242424242424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],-0.75,-0.56969696969697,-0.438383838383838,-0.339393939393939,-0.26010101010101,-0.191919191919192,-0.0757575757575758,0,0.0601010101010101,0.111111111111111,0.155555555555556,0.191919191919192,0.511111111111111,0.518518518518518,0.535016835016835,0.555555555555556,0.858585858585859,0.860606060606061,0.876262626262626,1,0.557575757575758,0.536868686868687,0.537373737373737,0.547979797979798,0.563636363636364,0.863131313131313,0.852525252525253,0.855892255892256,0.872727272727273,1,1,1,1,1,1,1,1,1,0.918181818181818,0.894949494949495,0.882154882154882,0.881818181818182,0.893939393939394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],-0.666666666666667,-0.477272727272727,-0.359090909090909,-0.27507215007215,-0.207792207792208,-0.148809523809524,-0.136363636363636,-0.0601010101010101,0,0.0529220779220779,0.102453102453102,0.148809523809524,0.284090909090909,0.321284271284271,0.362337662337662,0.406782106782107,0.60995670995671,0.650541125541126,0.700757575757576,0.893939393939394,0.377272727272727,0.390151515151515,0.413455988455988,0.44258658008658,0.476010101010101,0.656060606060606,0.672582972582973,0.699837662337662,0.739267676767677,0.880248917748918,0.904924242424242,1,0.897727272727273,0.903354978354978,0.922348484848485,1,1,1,0.783333333333333,0.765151515151515,0.766774891774892,0.781655844155844,0.809343434343434,0.91540404040404,0.918885281385281,0.934343434343434,1,1,1,1,1,1,1,1,1,1,0.960606060606061,0.950757575757576,0.949945887445887,0.958333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. ],-0.583333333333333,-0.4,-0.295454545454545,-0.221356421356421,-0.160930735930736,-0.106060606060606,-0.181818181818182,-0.111111111111111,-0.0529220779220779,0,0.0522366522366522,0.106060606060606,0.103030303030303,0.151082251082251,0.203318903318903,0.262987012987013,0.343722943722944,0.408946608946609,0.492424242424242,0.636363636363636,0.224242424242424,0.264141414141414,0.303751803751804,0.347979797979798,0.398556998556999,0.43975468975469,0.482034632034632,0.534920634920635,0.602525252525253,0.656349206349206,0.726010101010101,0.911616161616162,0.715728715728716,0.752308802308802,0.803030303030303,0.889646464646465,0.939393939393939,1,0.62020202020202,0.628138528138528,0.651515151515151,0.687842712842713,0.739393939393939,0.751082251082251,0.784054834054834,0.82979797979798,0.907575757575758,0.94949494949495,0.922799422799423,0.943434343434343,0.96969696969697,1,1,1,1,1,0.867676767676768,0.864718614718615,0.878427128427128,0.905555555555556,0.935425685425685,0.952525252525253,0.974747474747475,1,1,1,1,1,1,1,0.974747474747475,0.973304473304473,0.97979797979798,0.98989898989899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
