,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[3. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. ],[3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[3. 3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],[4. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[4. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[4. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[4. 4. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],[5. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[5. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[5. 5. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. ],[6. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[6. 6. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. ],[7. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[7. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[7. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[8. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[9. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[10. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[11. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[11. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[12. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ],[13. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. ]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ],0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. ],-0,0,0,0,0,0,0,0.782051282051282,0.737179487179487,0.705128205128205,0.685897435897436,0.67948717948718,0.685897435897436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],-0,-0,0,0,0,0,0,0.587412587412587,0.537529137529138,0.509090909090909,0.496503496503497,0.496969696969697,0.510489510489511,0.852913752913753,0.84032634032634,0.83986013986014,0.851515151515152,1,1,1,1,0.93006993006993,0.907692307692308,0.892773892773893,0.887412587412587,0.892307692307692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],-0,-0,-0,0,0,0,0,0.416083916083916,0.381002331002331,0.364219114219114,0.359731934731935,0.366317016317016,0.386072261072261,0.651048951048951,0.644522144522145,0.653613053613054,0.679370629370629,0.858624708624709,0.878642191142191,0.908624708624709,1,0.812587412587413,0.779020979020979,0.763403263403263,0.763752913752914,0.77972027972028,0.917249417249417,0.915967365967366,0.92534965034965,0.942890442890443,1,1,1,1,1,1,1,1,1,0.969230769230769,0.959207459207459,0.955128205128205,0.958187645687646,0.967365967365967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],-0,-0,-0,-0,0,0,0,0.268065268065268,0.252525252525253,0.245976245976246,0.247574647574648,0.258519258519258,0.283605283605284,0.444832944832945,0.448606948606949,0.465667665667666,0.501942501942502,0.632301032301032,0.671794871794872,0.738927738927739,0.867288267288267,0.667132867132867,0.63986013986014,0.632756132756133,0.643190143190143,0.673659673659674,0.762237762237762,0.772161172161172,0.7995337995338,0.846153846153846,0.894638694638695,0.929292929292929,1,0.942113442113442,0.950660450660451,0.966588966588967,1,1,1,0.894638694638695,0.878787878787879,0.878454878454878,0.892773892773893,0.920745920745921,0.942113442113442,0.950660450660451,0.966588966588967,1,1,1,1,1,1,1,1,1,1,0.982128982128982,0.978632478632479,0.980574980574981,0.986790986790987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. ],-0,-0,-0,-0,-0,0,0,0.143356643356643,0.141996891996892,0.141941391941392,0.146645021645022,0.158896658896659,0.187062937062937,0.254467754467754,0.261405261405261,0.279054279054279,0.316239316239316,0.376956376956377,0.416083916083916,0.501165501165501,0.575757575757576,0.510489510489511,0.499222999222999,0.503108003108003,0.524642024642025,0.572649572649573,0.570540570540571,0.591769341769342,0.635586635586636,0.718725718725719,0.68997668997669,0.762237762237762,0.902097902097902,0.810578310578311,0.83993783993784,0.89044289044289,0.911033411033411,0.963286713286713,1,0.777000777000777,0.768190143190143,0.77977577977578,0.813422688422688,0.874125874125874,0.810578310578311,0.83993783993784,0.89044289044289,0.911033411033411,0.963286713286713,0.950660450660451,0.971250971250971,0.989510489510489,1,1,1,1,1,0.926573426573427,0.925185925185925,0.938228438228438,0.962703962703963,0.950660450660451,0.971250971250971,0.989510489510489,1,1,1,1,1,1,1,0.986596736596737,0.988053613053613,0.993395493395493,0.998251748251748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. ],-0,-0,-0,-0,-0,-0,0,0.041958041958042,0.0442890442890443,0.0457875457875458,0.048951048951049,0.0559440559440559,0.0769230769230769,0.0815850815850816,0.0849150849150849,0.0932400932400932,0.111888111888112,0.121878121878122,0.13986013986014,0.188811188811189,0.195804195804196,0.356643356643357,0.35955710955711,0.372127872127872,0.402097902097902,0.468531468531469,0.368797868797869,0.391441891441891,0.438228438228438,0.552447552447552,0.424242424242424,0.497668997668998,0.608391608391608,0.625624375624376,0.670745920745921,0.758741258741259,0.706293706293706,0.839160839160839,0.91958041958042,0.627039627039627,0.633533133533134,0.660839160839161,0.72027972027972,0.846153846153846,0.625624375624376,0.670745920745921,0.758741258741259,0.706293706293706,0.839160839160839,0.825174825174825,0.881118881118881,0.965034965034965,0.91958041958042,1,0.94988344988345,0.989510489510489,1,0.822261072261072,0.834665334665335,0.870629370629371,0.937062937062937,0.825174825174825,0.881118881118881,0.965034965034965,0.91958041958042,0.94988344988345,0.989510489510489,1,1,1,1,0.936896436896437,0.951048951048951,0.979020979020979,1,0.94988344988345,0.989510489510489,1,1,1,1,1,0.987179487179487,0.995337995337995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. ],-1,-0.782051282051282,-0.587412587412587,-0.416083916083916,-0.268065268065268,-0.143356643356643,-0.041958041958042,0,0.131701631701632,0.234265734265734,0.314685314685315,0.37995337995338,0.437062937062937,0.79020979020979,0.79020979020979,0.804195804195804,0.828671328671329,1,1,1,1,0.730769230769231,0.726107226107226,0.737762237762238,0.762237762237762,0.796037296037296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. ],-1,-0.737179487179487,-0.537529137529138,-0.381002331002331,-0.252525252525253,-0.141996891996892,-0.0442890442890443,-0.131701631701632,0,0.106293706293706,0.197979797979798,0.279487179487179,0.352758352758353,0.501398601398601,0.554778554778555,0.608391608391608,0.663053613053613,0.875990675990676,0.897202797202797,0.923853923853924,1,0.48951048951049,0.526456876456876,0.571095571095571,0.618181818181818,0.668220668220668,0.858391608391608,0.871328671328671,0.893939393939394,0.921678321678322,1,1,1,1,1,1,1,1,1,0.892773892773893,0.888111888111888,0.895571095571096,0.912432012432012,0.934731934731935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. ],-1,-0.705128205128205,-0.509090909090909,-0.364219114219114,-0.245976245976246,-0.141941391941392,-0.0457875457875458,-0.234265734265734,-0.106293706293706,0,0.0958596958596959,0.186552336552337,0.273892773892774,0.254079254079254,0.337218337218337,0.419380619380619,0.502408702408702,0.636829836829837,0.708041958041958,0.782051282051282,0.923853923853924,0.27972027972028,0.351748251748252,0.420745920745921,0.489427239427239,0.55982905982906,0.63986013986014,0.691841491841492,0.747863247863248,0.81002331002331,0.896853146853147,0.931701631701632,1,0.892773892773893,0.915967365967366,0.944055944055944,1,1,1,0.723076923076923,0.743589743589744,0.775757575757576,0.815268065268065,0.861693861693862,0.91025641025641,0.929020979020979,0.952602952602953,1,1,1,1,1,1,1,1,1,1,0.944055944055944,0.945221445221445,0.955128205128205,0.96969696969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
