,[1. 1. 1. 1. 1. 1. 1. 1. 1. ],[2. 1. 1. 1. 1. 1. 1. 1. 0. ],[2. 2. 1. 1. 1. 1. 1. 0. 0. ],[2. 2. 2. 1. 1. 1. 0. 0. 0. ],[2. 2. 2. 2. 1. 0. 0. 0. 0. ],[3. 1. 1. 1. 1. 1. 1. 0. 0. ],[3. 2. 1. 1. 1. 1. 0. 0. 0. ],[3. 2. 2. 1. 1. 0. 0. 0. 0. ],[3. 2. 2. 2. 0. 0. 0. 0. 0. ],[3. 3. 1. 1. 1. 0. 0. 0. 0. ],[3. 3. 2. 1. 0. 0. 0. 0. 0. ],[3. 3. 3. 0. 0. 0. 0. 0. 0. ],[4. 1. 1. 1. 1. 1. 0. 0. 0. ],[4. 2. 1. 1. 1. 0. 0. 0. 0. ],[4. 2. 2. 1. 0. 0. 0. 0. 0. ],[4. 3. 1. 1. 0. 0. 0. 0. 0. ],[4. 3. 2. 0. 0. 0. 0. 0. 0. ],[4. 4. 1. 0. 0. 0. 0. 0. 0. ],[5. 1. 1. 1. 1. 0. 0. 0. 0. ],[5. 2. 1. 1. 0. 0. 0. 0. 0. ],[5. 2. 2. 0. 0. 0. 0. 0. 0. ],[5. 3. 1. 0. 0. 0. 0. 0. 0. ],[5. 4. 0. 0. 0. 0. 0. 0. 0. ],[6. 1. 1. 1. 0. 0. 0. 0. 0. ],[6. 2. 1. 0. 0. 0. 0. 0. 0. ],[6. 3. 0. 0. 0. 0. 0. 0. 0. ],[7. 1. 1. 0. 0. 0. 0. 0. 0. ],[7. 2. 0. 0. 0. 0. 0. 0. 0. ],[8. 1. 0. 0. 0. 0. 0. 0. 0. ],[9. 0. 0. 0. 0. 0. 0. 0. 0. ]
[1. 1. 1. 1. 1. 1. 1. 1. 1. ],0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 1. 1. 1. 1. 1. 1. 1. 0. ],-0,0,0,0,0,0.694444444444444,0.652777777777778,0.638888888888889,0.652777777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 1. 1. 1. 1. 1. 0. 0. ],-0,-0,0,0,0,0.436507936507937,0.412698412698413,0.415343915343915,0.444444444444444,0.734126984126984,0.768518518518518,1,0.857142857142857,0.841269841269841,0.854497354497355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[2. 2. 2. 1. 1. 1. 0. 0. 0. ],-0,-0,-0,0,0,0.226190476190476,0.227380952380952,0.24047619047619,0.279761904761905,0.421428571428571,0.476190476190476,0.761904761904762,0.642857142857143,0.647619047619048,0.69047619047619,0.797619047619048,0.880952380952381,1,0.904761904761905,0.916666666666667,0.952380952380952,1,1,1,1,1,1,1,1,1
[2. 2. 2. 2. 1. 0. 0. 0. 0. ],-0,-0,-0,-0,0,0.0634920634920635,0.0698412698412698,0.0793650793650794,0.111111111111111,0.133333333333333,0.158730158730159,0.285714285714286,0.412698412698413,0.43968253968254,0.507936507936508,0.492063492063492,0.634920634920635,0.817460317460317,0.711111111111111,0.761904761904762,0.888888888888889,0.817460317460317,1,0.912698412698413,0.968253968253968,1,1,1,1,1
[3. 1. 1. 1. 1. 1. 1. 0. 0. ],-1,-0.694444444444444,-0.436507936507937,-0.226190476190476,-0.0634920634920635,0,0.178571428571429,0.305555555555556,0.404761904761905,0.761904761904762,0.801587301587302,1,0.638888888888889,0.678571428571429,0.742063492063492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[3. 2. 1. 1. 1. 1. 0. 0. 0. ],-1,-0.652777777777778,-0.412698412698413,-0.227380952380952,-0.0698412698412698,-0.178571428571429,0,0.152380952380952,0.285714285714286,0.400793650793651,0.535714285714286,0.880952380952381,0.325396825396825,0.446428571428571,0.555555555555556,0.787698412698413,0.873015873015873,1,0.793650793650794,0.841269841269841,0.904761904761905,1,1,1,1,1,1,1,1,1
[3. 2. 2. 1. 1. 0. 0. 0. 0. ],-1,-0.638888888888889,-0.415343915343915,-0.24047619047619,-0.0793650793650794,-0.305555555555556,-0.152380952380952,0,0.162698412698413,0.073015873015873,0.242063492063492,0.547619047619048,0.0714285714285714,0.21984126984127,0.375661375661376,0.445767195767196,0.642857142857143,0.793650793650794,0.507936507936508,0.64021164021164,0.785714285714286,0.837301587301587,1,0.841269841269841,0.924603174603175,1,1,1,1,1
[3. 2. 2. 2. 0. 0. 0. 0. 0. ],-1,-0.652777777777778,-0.444444444444444,-0.279761904761905,-0.111111111111111,-0.404761904761905,-0.285714285714286,-0.162698412698413,0,-0.202380952380952,-0.0813492063492064,0.0119047619047619,-0.126984126984127,0.00198412698412698,0.162698412698413,0.0813492063492064,0.293650793650794,0.396825396825397,0.222222222222222,0.384920634920635,0.638888888888889,0.478174603174603,0.833333333333333,0.563492063492063,0.751984126984127,0.875,0.841269841269841,1,1,1
[3. 3. 1. 1. 1. 0. 0. 0. 0. ],-1,-1,-0.734126984126984,-0.421428571428571,-0.133333333333333,-0.761904761904762,-0.400793650793651,-0.073015873015873,0.202380952380952,0,0.317460317460317,0.761904761904762,-0.325396825396825,0,0.26984126984127,0.412698412698413,0.654761904761905,0.76984126984127,0.238095238095238,0.5,0.69047619047619,0.869047619047619,1,0.742063492063492,0.869047619047619,1,1,1,1,1
